stationid,surveyyear,sampledate,stationdepth,labname,labsampleid
B08-7250,2008,2008/07/15 07:00:00+00,609,Los Angeles County Sanitation Districts,JW53160
B08-6069,2008,2008/07/10 07:00:00+00,2,CRG Laboratories,72008-R1
B08-6177,2008,2008/08/07 07:00:00+00,3,NULL,NULL
B08-6213,2008,2008/08/05 07:00:00+00,2,CRG Laboratories,72535-R1
B08-7651,2008,2008/07/25 07:00:00+00,147,City of San Diego,P438298
B08-6442,2008,2008/07/23 07:00:00+00,4,NULL,NULL
B08-6001,2008,2008/07/16 07:00:00+00,2,CRG Laboratories,72037-R1
B08-7269,2008,2008/09/11 07:00:00+00,38,City of San Diego,P448286
B08-6230,2008,2008/07/17 07:00:00+00,-99,City of San Diego,P442402
B08-6236,2008,2008/07/17 07:00:00+00,-99,City of San Diego,P442404
B08-6271,2008,2008/07/08 07:00:00+00,2,NULL,NULL
B08-6478,2008,2008/09/10 07:00:00+00,6,NULL,NULL
B08-6485,2008,2008/07/14 07:00:00+00,4,NULL,NULL
B08-6508,2008,2008/09/29 07:00:00+00,3,NULL,NULL
B08-6513,2008,2008/09/29 07:00:00+00,7,NULL,NULL
B08-7168,2008,2008/09/18 07:00:00+00,822,NULL,NULL
B08-6084,2008,2008/08/19 07:00:00+00,4,NULL,NULL
B08-6165,2008,2008/08/06 07:00:00+00,4,NULL,NULL
B08-7092,2008,2008/07/16 07:00:00+00,949,NULL,NULL
B08-6072,2008,2008/08/19 07:00:00+00,5,NULL,NULL
B08-6213,2008,2008/08/05 07:00:00+00,5,NULL,NULL
B08-6350,2008,2008/07/14 07:00:00+00,5,NULL,NULL
B08-6080,2008,2008/08/21 07:00:00+00,4,NULL,NULL
B08-7456,2008,2008/09/11 07:00:00+00,93,NULL,NULL
B08-7684,2008,2008/07/27 07:00:00+00,442,NULL,NULL
B08-6106,2008,2008/08/18 07:00:00+00,5,NULL,NULL
B08-6539,2008,2008/08/19 07:00:00+00,1,NULL,NULL
B08-7615,2008,2008/07/28 07:00:00+00,395,NULL,NULL
B08-7324,2008,2008/07/24 07:00:00+00,20,NULL,NULL
B08-7526,2008,2008/08/13 07:00:00+00,390,NULL,NULL
B08-7102,2008,2008/07/15 07:00:00+00,726,NULL,NULL
B08-6145,2008,2008/08/06 07:00:00+00,7,NULL,NULL
B08-7583,2008,2008/08/13 07:00:00+00,116,NULL,NULL
B08-6343,2008,2008/07/14 07:00:00+00,3,NULL,NULL
B08-6065,2008,2008/07/10 07:00:00+00,1,NULL,NULL
B08-6015,2008,2008/08/22 07:00:00+00,1,NULL,NULL
B08-7253,2008,2008/07/30 07:00:00+00,75,NULL,NULL
B08-7121,2008,2008/07/14 07:00:00+00,860,NULL,NULL
B08-6004,2008,2008/07/16 07:00:00+00,0,NULL,NULL
B08-6308,2008,2008/08/29 07:00:00+00,0,NULL,NULL
B08-6362,2008,2008/08/08 07:00:00+00,3,NULL,NULL
B08-6462,2008,2008/09/10 07:00:00+00,11,NULL,NULL
B08-6572,2008,2008/08/18 07:00:00+00,8,NULL,NULL
B08-7019,2008,2008/07/08 07:00:00+00,72,NULL,NULL
B08-7064,2008,2008/07/18 07:00:00+00,376,NULL,NULL
B08-7128,2008,2008/09/02 07:00:00+00,84,NULL,NULL
B08-7313,2008,2008/07/24 07:00:00+00,23,NULL,NULL
B08-7701,2008,2008/07/25 07:00:00+00,129,NULL,NULL
B08-6189,2008,2008/07/11 07:00:00+00,0,NULL,NULL
B08-7609,2008,2008/07/27 07:00:00+00,413,NULL,NULL
B08-6115,2008,2008/08/18 07:00:00+00,10,NULL,NULL
B08-6151,2008,2008/08/06 07:00:00+00,4,NULL,NULL
B08-6242,2008,2008/07/22 07:00:00+00,2,NULL,NULL
B08-6325,2008,2008/08/04 07:00:00+00,5,NULL,NULL
B08-6383,2008,2008/07/23 07:00:00+00,4,NULL,NULL
B08-6179,2008,2008/08/07 07:00:00+00,2,NULL,NULL
B08-6090,2008,2008/08/19 07:00:00+00,4,NULL,NULL
B08-7100,2008,2008/07/16 07:00:00+00,637,NULL,NULL
B08-6040,2008,2008/08/21 07:00:00+00,11,NULL,NULL
B08-6204,2008,2008/08/05 07:00:00+00,6,NULL,NULL
B08-7460,2008,2008/07/14 07:00:00+00,563,NULL,NULL
B08-7708,2008,2008/07/28 07:00:00+00,44,NULL,NULL
B08-6001,2008,2008/07/16 07:00:00+00,0,NULL,NULL
B08-6413,2008,2008/07/17 07:00:00+00,12,NULL,NULL
B08-7494,2008,2008/09/11 07:00:00+00,13,NULL,NULL
B08-6086,2008,2008/08/18 07:00:00+00,8,NULL,NULL
B08-6044,2008,2008/08/22 07:00:00+00,12,NULL,NULL
B08-6327,2008,2008/08/04 07:00:00+00,3,NULL,NULL
B08-7540,2008,2008/09/08 07:00:00+00,82,NULL,NULL
B08-7652,2008,2008/07/25 07:00:00+00,139,NULL,NULL
B08-6156,2008,2008/08/08 07:00:00+00,12,NULL,NULL
B08-6161,2008,2008/08/06 07:00:00+00,5,NULL,NULL
B08-6303,2008,2008/08/29 07:00:00+00,0,NULL,NULL
B08-7321,2008,2008/07/24 07:00:00+00,28,NULL,NULL
B08-7573,2008,2008/09/10 07:00:00+00,101,NULL,NULL
B08-7732,2008,2008/07/26 07:00:00+00,171,NULL,NULL
B08-6075,2008,2008/08/19 07:00:00+00,6,NULL,NULL
B08-6133,2008,2008/08/08 07:00:00+00,12,NULL,NULL
B08-6134,2008,2008/08/08 07:00:00+00,13,NULL,NULL
B08-6181,2008,2008/07/11 07:00:00+00,1,NULL,NULL
B08-6282,2008,2008/07/08 07:00:00+00,2,NULL,NULL
B08-6424,2008,2008/07/22 07:00:00+00,17,NULL,NULL
B08-7109,2008,2008/07/14 07:00:00+00,876,NULL,NULL
B08-7632,2008,2008/07/27 07:00:00+00,440,NULL,NULL
